wikidata,local_id,osm_id,geom,wikidataLabel
http://www.wikidata.org/entity/Q727559,05837,1343460,Point(-76.728333333 8.093055555),Turbo
http://www.wikidata.org/entity/Q1578712,05842,1316183,Point(-76.173611111 6.898611111),Uramita
http://www.wikidata.org/entity/Q1026557,05847,1307282,Point(-76.134166666 6.315555555),Urrao
http://www.wikidata.org/entity/Q1525117,05854,1324947,Point(-75.439166666 7.163611111),Valdivia
http://www.wikidata.org/entity/Q600927,05856,1348583,Point(-75.625555555 5.614444444),Valparaíso
http://www.wikidata.org/entity/Q1576012,05858,1316174,Point(-74.799444444 6.773055555),Vegachí
http://www.wikidata.org/entity/Q525532,05861,1307281,Point(-75.733611111 5.960833333),Venecia
http://www.wikidata.org/entity/Q1655819,05873,1307280,Point(-76.899722222 6.589444444),Vigía del Fuerte
http://www.wikidata.org/entity/Q1576665,05885,1307256,Point(-74.841111111 6.676666666),Yalí
http://www.wikidata.org/entity/Q972405,05887,1343280,Point(-75.417222222 6.963333333),Yarumal
http://www.wikidata.org/entity/Q367639,05890,1307275,Point(-75.012222222 6.597777777),Yolombó
http://www.wikidata.org/entity/Q1526021,05893,1316178,Point(-73.908888888 7.006111111),Yondó
http://www.wikidata.org/entity/Q1441664,05895,1324938,Point(-74.8675 7.489722222),Zaragoza
http://www.wikidata.org/entity/Q62823,08001,1335179,Point(-74.801944444 10.983333333),Barranquilla
http://www.wikidata.org/entity/Q979097,08078,1341518,Point(-74.919444444 10.795555555),Baranoa
http://www.wikidata.org/entity/Q2279534,08137,1342330,Point(-74.881388888 10.377777777),Campo de la Cruz
http://www.wikidata.org/entity/Q1023776,08141,1341514,Point(-74.880555555 10.459166666),Candelaria
http://www.wikidata.org/entity/Q2307260,08296,1341561,Point(-74.885277777 10.900277777),Galapa
http://www.wikidata.org/entity/Q2320402,08372,1335189,Point(-75.035 10.828611111),Juan de Acosta
http://www.wikidata.org/entity/Q2308661,08421,1342479,Point(-75.141666666 10.608333333),Luruaco
http://www.wikidata.org/entity/Q568597,08433,1341567,Point(-74.778888888 10.860277777),Malambo
http://www.wikidata.org/entity/Q2432352,08436,1342458,Point(-74.959166666 10.448055555),Manatí
http://www.wikidata.org/entity/Q1023805,08520,1335166,Point(-74.754722222 10.738888888),Palmar de Varela
http://www.wikidata.org/entity/Q2320388,08549,1335185,Point(-75.1075 10.750277777),Piojó
http://www.wikidata.org/entity/Q1526194,08558,1341550,Point(-74.852777777 10.777222222),Polonuevo
http://www.wikidata.org/entity/Q512871,08560,1335186,Point(-74.753055555 10.641944444),Ponedera
http://www.wikidata.org/entity/Q2186176,08573,1335183,Point(-74.952777777 10.992222222),Puerto Colombia
http://www.wikidata.org/entity/Q2320315,08606,1342464,Point(-75.124166666 10.494444444),Repelón
http://www.wikidata.org/entity/Q2433625,08634,1341558,Point(-74.755555555 10.790277777),Sabanagrande
http://www.wikidata.org/entity/Q1027007,08638,1341537,Point(-74.923611111 10.63),Sabanalarga
