donor_id,filename_original,package_path,de_sha256,para_url
76000026,address_for_all.zip,BR/data/SP/Limeira/_pk0026.01,529f86b71a936bfdbca3d633b80912f496b9c94a2505ef816e406e2362b631c4.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EYWIOsxWFpJFsa0X4zKalS8BbEaKtHVuyezvIbN2CdJljw
76000058,LOTES_CENTROIDES.zip,BR/data/SP/Itanhaem/_pk0058.01,78f10da32c1dfab83bdbb448884731fffba15a36c88337b122bc6e896a841302.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EaTb3KxQ8blJnzhsy3cZUlUBXyCzh-OjebZ6VDCrywUEAQ
76000058,ABAIRRAMENTO.zip,BR/data/SP/Itanhaem/_pk0058.01,023071f87e4bb37e46d42cee7841f3a2119b8f65d2778604af3644f279cf89f1.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EdQ3k5-on_lPlmcSc0abCA4B91GCPRaNTB0DsB67v7xJUA
76000058,LOTES.zip,BR/data/SP/Itanhaem/_pk0058.01,7e8269d4c80f9a03cc999a44f028c00dd296868ee26b61f012dc53211e760417.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=ETKcvWX5wJVEq3NjEdWa0_wB1aQ9_8jkVhV0K5fWc78-Ag
76000058,ARRUAMENTO.zip,BR/data/SP/Itanhaem/_pk0058.01,3137911874246d45f025f2b98066f1e7a31543332e175e83f433005d131c40fe.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EaTugh5s14pOkhII005i7i0BcbHmzEdT1vKussoX5eqBoA
76000084,GEO-SOCIAIS ADDRESSFORALL.rar,BR/data/GO/AparecidaGoiania/_pk0084.01,607ba1a0c854d6c93a0e57a95fa8851be3abe05b292b477ee5eb71ec245b1fae.rar,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EVgthroFC8ZHonApiVZxLP4BA4HFWMcJ6B8yzx3m5QDjSQ
76000091,dpgis_levels_3.zip,BR/data/ES/CachoeiroItapemirim/_pk0076.01,8d0400b02d594228c5a43df5e5bcdbbb620bce1175fac22fb2f196768159d53f.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EcRzVxmedH9DpL_P3ei07KwB4jkvMMWqvc_-fW5X_w1U0g
76000091,dpgis_inscricao_fiscal_cigeo.zip,BR/data/ES/CachoeiroItapemirim/_pk0076.02,4b8f5c5264e567014e98d3314a49ba2a1c71f8da5cba66572671fe674b7788f1.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EYgCc2weOMJPmtJCEkQGN9ABq5INZ_Zy3NmnQmqxV-09Lw
76000091,CAM_SHAP_CACHOEIRO DE ITAPEMIRIIM_ES.rar,BR/data/ES/CachoeiroItapemirim/_pk0076.03,5662a73fff9eeb6c1c3753b4d204b5c1074e9a17454c68fabcf17bd87c2c77b4.rar,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EcK2YL8ZIF5MhOykGKumW6IBv1PvArc5Vj58lQ8a1eePtg
76000091,dpgis_numeroinicioefim1.zip,BR/data/ES/CachoeiroItapemirim/_pk0076.04,81db1f1d79472aa7e664a00e012628ee113c887e952e73af28e6e86ad10a7dab.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EYm6LW7a9upHpK2_MQFjGwUBQ_n5E85LFYiQSZDJDFJIDQ
